"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: fillByte","Param: preparation","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,83.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,167.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,291.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,583.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.999","sample",1,1,959.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,8115.700000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,1421312.000000,NaN,"ns/op",1024,1,17,copyin,10
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,3731563,84.831845,1.312039,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,17,copyin,50
