"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1648640.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,671095,4697.739044,3.246524,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,4248.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,4624.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,4744.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,4872.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,5952.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,16832.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,30417.971200,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,95104.000000,NaN,"ns/op",1024,1,copyout,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion","sample",1,771311,529.215484,1.860358,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.00","sample",1,1,334.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.50","sample",1,1,500.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.90","sample",1,1,542.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.95","sample",1,1,542.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.99","sample",1,1,625.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.999","sample",1,1,5456.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.9999","sample",1,1,19998.412800,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p1.00","sample",1,1,185344.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion","sample",1,683798,595.297350,1.872698,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.00","sample",1,1,375.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.50","sample",1,1,583.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.90","sample",1,1,584.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.95","sample",1,1,625.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.99","sample",1,1,708.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.999","sample",1,1,5632.040000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.9999","sample",1,1,22515.843200,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p1.00","sample",1,1,62784.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion","sample",1,906976,857.601498,2.607029,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.00","sample",1,1,584.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.50","sample",1,1,792.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.90","sample",1,1,958.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.95","sample",1,1,1042.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.99","sample",1,1,1124.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.999","sample",1,1,9568.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.9999","sample",1,1,30714.041600,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p1.00","sample",1,1,217856.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion","sample",1,791357,2016.586944,4.884845,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.00","sample",1,1,1458.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.50","sample",1,1,1790.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.90","sample",1,1,2624.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.95","sample",1,1,2708.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.99","sample",1,1,2872.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.999","sample",1,1,15328.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.9999","sample",1,1,30616.889600,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p1.00","sample",1,1,834560.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion","sample",1,713933,9174.641004,22.684628,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.00","sample",1,1,6912.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.50","sample",1,1,8368.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.90","sample",1,1,9200.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.95","sample",1,1,10704.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.99","sample",1,1,33344.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.999","sample",1,1,37380.224000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetJNIBenchmark.getIntoByteArraySetRegion:getIntoByteArraySetRegion·p0.9999","sample",1,1,54043.289600,NaN,"ns/op",1024,1,none,65536
